ts,name,cpu_pct,mem_mib,net_in_mib,net_out_mib,blk_in_mib,blk_out_mib
2026-05-09T19:01:22Z,bench-consumer-A,0.03,124.00,0.00,0.00,87.40,0.00
2026-05-09T19:01:22Z,bench-kafka,116.91,419.60,0.00,0.00,122.00,1.02
2026-05-09T19:01:22Z,bench-driver-A,102.19,25.64,0.00,0.00,0.00,0.00
2026-05-09T19:01:29Z,bench-driver-A,105.34,26.14,0.00,3.93,0.00,0.00
2026-05-09T19:01:29Z,bench-consumer-A,3.45,125.10,5.63,1.30,87.60,0.00
2026-05-09T19:01:29Z,bench-kafka,41.46,508.30,5.84,6.11,122.00,1.11
2026-05-09T19:01:36Z,bench-driver-A,100.41,25.59,0.00,8.62,0.00,0.00
2026-05-09T19:01:36Z,bench-consumer-A,3.53,125.10,10.80,2.58,87.60,0.00
2026-05-09T19:01:36Z,bench-kafka,36.57,589.60,11.20,11.80,122.00,8.82
2026-05-09T19:01:43Z,bench-driver-A,101.21,25.59,1.35,12.60,0.00,0.00
2026-05-09T19:01:43Z,bench-consumer-A,3.55,125.10,15.90,3.84,87.60,0.00
2026-05-09T19:01:43Z,bench-kafka,11.82,734.70,16.50,17.30,122.00,11.70
2026-05-09T19:01:50Z,bench-driver-A,101.22,25.84,1.78,16.60,0.00,0.00
2026-05-09T19:01:50Z,bench-consumer-A,3.72,125.10,20.20,4.90,87.60,0.00
2026-05-09T19:01:50Z,bench-kafka,90.53,970.70,21.70,22.80,122.00,11.80
2026-05-09T19:01:57Z,bench-driver-A,103.33,25.83,2.22,20.50,0.00,0.00
2026-05-09T19:01:57Z,bench-consumer-A,4.14,125.70,26.00,6.34,87.60,0.00
2026-05-09T19:01:57Z,bench-kafka,11.93,990.60,26.90,28.30,122.00,11.90
2026-05-09T19:02:04Z,bench-driver-A,101.00,25.59,2.65,24.50,0.00,0.00
2026-05-09T19:02:04Z,bench-consumer-A,3.33,126.20,31.00,7.59,87.60,0.00
2026-05-09T19:02:04Z,bench-kafka,9.67,992.40,32.00,33.70,122.00,12.10
2026-05-09T19:02:12Z,bench-driver-A,100.08,26.07,3.03,27.80,0.00,0.00
2026-05-09T19:02:12Z,bench-consumer-A,3.32,126.80,36.00,8.85,87.60,0.00
2026-05-09T19:02:12Z,bench-kafka,10.42,993.20,37.20,39.10,122.00,27.50
2026-05-09T19:02:19Z,bench-driver-A,99.92,25.59,3.52,32.30,0.00,0.00
2026-05-09T19:02:19Z,bench-consumer-A,3.95,127.30,41.10,10.10,87.60,0.00
2026-05-09T19:02:19Z,bench-kafka,61.37,1048.58,42.40,44.50,122.00,27.60
2026-05-09T19:02:26Z,bench-driver-A,103.68,25.59,3.96,36.30,0.00,0.00
2026-05-09T19:02:26Z,bench-consumer-A,4.01,127.90,46.00,11.30,87.60,0.00
2026-05-09T19:02:26Z,bench-kafka,11.44,1002.00,47.60,50.00,122.00,27.70
2026-05-09T19:02:33Z,bench-driver-A,100.36,25.59,4.40,40.20,0.00,0.00
2026-05-09T19:02:33Z,bench-consumer-A,3.27,128.30,50.30,12.40,87.60,0.00
2026-05-09T19:02:33Z,bench-kafka,9.45,997.40,52.80,55.40,122.00,27.80
2026-05-09T19:02:40Z,bench-driver-A,100.39,25.59,4.83,44.10,0.00,0.00
2026-05-09T19:02:40Z,bench-consumer-A,3.43,129.00,56.10,13.90,87.60,0.00
2026-05-09T19:02:40Z,bench-kafka,9.65,994.80,57.20,60.10,122.00,39.90
2026-05-09T19:02:47Z,bench-driver-A,102.18,25.59,5.27,48.00,0.00,0.00
2026-05-09T19:02:47Z,bench-consumer-A,3.50,129.40,60.30,14.90,87.60,0.00
2026-05-09T19:02:47Z,bench-kafka,10.68,997.70,63.20,66.40,122.00,40.00
2026-05-09T19:02:54Z,bench-driver-A,105.70,25.83,5.70,52.00,0.00,0.00
2026-05-09T19:02:54Z,bench-consumer-A,5.31,130.10,66.10,16.40,87.60,0.00
2026-05-09T19:02:54Z,bench-kafka,66.15,995.00,68.30,71.80,122.00,40.10
2026-05-09T19:03:02Z,bench-driver-A,100.82,25.59,6.14,55.90,0.00,0.00
2026-05-09T19:03:02Z,bench-consumer-A,3.36,130.60,71.10,17.60,87.60,0.00
2026-05-09T19:03:02Z,bench-kafka,9.08,995.20,73.50,77.20,122.00,52.60
2026-05-09T19:03:09Z,bench-driver-A,106.49,25.83,6.58,59.90,0.00,0.00
2026-05-09T19:03:09Z,bench-consumer-A,5.13,131.10,75.40,18.60,87.60,0.00
2026-05-09T19:03:09Z,bench-kafka,15.75,995.40,78.70,82.70,122.00,52.70
2026-05-09T19:03:16Z,bench-driver-A,104.46,25.84,7.01,63.80,0.00,0.00
2026-05-09T19:03:16Z,bench-consumer-A,3.44,131.60,80.30,19.90,87.60,0.00
2026-05-09T19:03:16Z,bench-kafka,10.69,997.20,83.90,88.10,122.00,52.80
2026-05-09T19:03:23Z,bench-driver-A,99.95,25.83,7.44,67.70,0.00,0.00
2026-05-09T19:03:23Z,bench-consumer-A,3.63,132.30,86.10,21.30,87.60,0.00
2026-05-09T19:03:23Z,bench-kafka,9.39,996.90,88.30,92.70,122.00,52.90
2026-05-09T19:03:30Z,bench-driver-A,99.53,25.61,7.88,71.60,0.00,0.00
2026-05-09T19:03:30Z,bench-consumer-A,3.66,133.10,91.10,22.60,87.60,0.00
2026-05-09T19:03:30Z,bench-kafka,10.04,997.40,94.20,99.00,122.00,68.30
2026-05-09T19:03:37Z,bench-driver-A,99.98,25.83,8.31,75.60,0.00,0.00
2026-05-09T19:03:37Z,bench-consumer-A,3.38,133.40,96.10,23.80,87.60,0.00
2026-05-09T19:03:37Z,bench-kafka,9.98,997.00,98.70,104.00,122.00,68.40
2026-05-09T19:03:44Z,bench-driver-A,101.96,25.59,8.75,79.50,0.00,0.00
2026-05-09T19:03:44Z,bench-consumer-A,3.77,133.90,101.00,25.10,87.60,0.00
2026-05-09T19:03:44Z,bench-kafka,10.21,997.10,105.00,110.00,122.00,68.50
2026-05-09T19:03:52Z,bench-driver-A,102.52,25.59,9.18,83.40,0.00,0.00
2026-05-09T19:03:52Z,bench-consumer-A,3.27,134.50,106.00,26.30,87.60,0.00
2026-05-09T19:03:52Z,bench-kafka,11.48,1003.00,110.00,115.00,122.00,68.60
2026-05-09T19:03:59Z,bench-driver-A,99.70,25.59,9.62,87.40,0.00,0.00
2026-05-09T19:03:59Z,bench-consumer-A,3.25,135.00,111.00,27.60,87.60,0.00
2026-05-09T19:03:59Z,bench-kafka,43.93,997.40,115.00,121.00,122.00,80.70
2026-05-09T19:04:06Z,bench-driver-A,101.60,25.59,10.10,91.30,0.00,0.00
2026-05-09T19:04:06Z,bench-consumer-A,3.37,135.60,116.00,28.80,87.60,0.00
2026-05-09T19:04:06Z,bench-kafka,9.78,1004.00,120.00,126.00,122.00,80.80
2026-05-09T19:04:13Z,bench-driver-A,102.73,25.84,10.50,95.20,0.00,0.00
2026-05-09T19:04:13Z,bench-consumer-A,3.35,136.10,121.00,30.10,87.60,0.00
2026-05-09T19:04:13Z,bench-kafka,9.06,997.90,125.00,132.00,122.00,80.90
2026-05-09T19:04:20Z,bench-driver-A,104.97,25.83,10.90,98.60,0.00,0.00
2026-05-09T19:04:20Z,bench-consumer-A,4.61,136.70,126.00,31.30,87.60,0.00
2026-05-09T19:04:20Z,bench-kafka,12.17,998.60,131.00,137.00,122.00,95.00
2026-05-09T19:04:27Z,bench-consumer-A,0.05,136.70,126.00,31.30,87.60,0.00
2026-05-09T19:04:27Z,bench-kafka,77.88,998.50,131.00,137.00,122.00,95.20
2026-05-09T19:04:35Z,bench-consumer-A,0.03,136.70,126.00,31.40,87.60,0.00
2026-05-09T19:04:35Z,bench-kafka,11.38,998.50,131.00,137.00,122.00,95.30
2026-05-09T19:04:42Z,bench-consumer-A,0.05,136.70,126.00,31.40,87.60,0.00
2026-05-09T19:04:42Z,bench-kafka,2.31,998.80,131.00,137.00,122.00,95.40
2026-05-09T19:04:49Z,bench-consumer-A,0.07,136.70,126.00,31.40,87.60,0.00
2026-05-09T19:04:49Z,bench-kafka,1.74,998.80,131.00,137.00,122.00,95.50
2026-05-09T19:04:56Z,bench-consumer-A,0.03,136.70,126.00,31.40,87.60,0.00
2026-05-09T19:04:56Z,bench-kafka,81.92,1000.00,131.00,137.00,122.00,95.70
2026-05-09T19:05:03Z,bench-consumer-A,0.05,136.70,126.00,31.40,87.60,0.00
2026-05-09T19:05:03Z,bench-kafka,65.91,998.80,131.00,137.00,122.00,95.80
2026-05-09T19:05:10Z,bench-consumer-A,0.06,136.70,126.00,31.40,87.60,0.00
2026-05-09T19:05:10Z,bench-kafka,0.57,999.70,131.00,137.00,122.00,95.90
