second,count,p50_ms,p95_ms,p99_ms,max_ms,bytes_in
33,1063,6.735,10.943,11.287,11.712,425082
34,2004,6.715,10.953,11.422,17.036,803078
35,1999,7.216,11.117,14.338,19.989,796714
36,2007,6.846,11.038,12.106,17.163,802668
37,1985,6.708,10.952,11.4,17.688,793236
38,2008,7.456,11.571,16.5,23.077,804260
39,2003,7.008,11.178,14.837,20.044,798933
40,1996,6.842,11.203,13.063,18.485,799641
41,1995,6.867,11.047,11.596,17.742,798803
42,2009,6.72,10.983,11.529,17.607,801368
43,1990,6.753,11.068,12.967,22.302,794834
44,2006,7.076,12.024,15.692,21.666,802290
45,2004,6.736,10.966,11.323,18.816,801621
46,1991,6.767,10.924,11.279,12.107,794757
47,2003,6.874,11.183,16.756,22.85,799685
48,2003,7.05,11.108,12.763,20.819,803011
49,1995,6.77,10.892,11.249,11.812,797419
50,2007,6.914,11.802,16.729,25.655,805402
51,1998,7.207,11.092,14.213,24.684,802979
52,2003,7.212,11.168,13.816,19.711,798919
53,2000,7.085,11.074,13.667,22.029,800939
54,1993,6.878,11.017,12.293,20.251,796744
55,2006,7.197,11.393,16.523,26.195,800903
56,2002,6.741,11.172,12.844,20.216,799332
57,1991,6.744,10.954,11.345,15.855,795163
58,2005,6.628,10.933,11.392,13.979,802325
59,1997,6.832,11.03,11.49,18.298,797695
60,2001,6.924,11.254,15.414,20.861,801900
61,2000,7.293,11.561,17.838,24.865,797502
62,2001,6.872,11.045,13.939,18.275,800362
63,2002,6.733,11.012,11.478,19.736,800352
64,1998,6.874,11.071,11.703,14.867,800972
65,2006,6.736,11.008,11.341,14.308,801635
66,1999,6.79,10.978,11.481,16.312,800509
67,1990,7.171,11.585,15.178,20.521,797860
68,2008,7.241,11.245,15.31,20.047,806387
69,1998,6.791,11.026,14.139,18.883,801844
70,2004,6.789,11.031,12.355,25.412,803123
71,1994,6.716,10.932,11.376,12.581,797086
72,2003,7.325,12.463,17.728,23.139,800671
73,1992,7.341,12.409,17.779,22.655,799007
74,2003,6.76,10.936,11.241,13.447,805525
75,2003,6.783,11.059,13.316,18.657,800192
76,2001,6.869,11.119,12.877,16.974,800176
77,1999,6.885,11.113,13.596,20.146,799683
78,2003,6.761,10.976,11.35,12.07,802953
79,1992,7.025,11.263,13.35,17.384,795398
80,2007,6.867,11.042,12.008,19.496,802843
81,1994,6.796,10.943,11.348,11.923,796983
