ts,name,cpu_pct,mem_mib,net_in_mib,net_out_mib,blk_in_mib,blk_out_mib
2026-05-09T18:44:02Z,bench-consumer-B,0.03,76.02,0.00,0.00,42.80,0.00
2026-05-09T18:44:02Z,bench-schema-registry,16.77,465.60,0.00,0.00,68.50,0.00
2026-05-09T18:44:02Z,bench-kafka,80.90,295.90,0.00,0.00,17.60,1.13
2026-05-09T18:44:02Z,bench-driver-B,101.21,24.64,0.00,0.00,0.00,0.00
2026-05-09T18:44:10Z,bench-driver-B,101.52,24.50,0.00,3.84,0.00,0.00
2026-05-09T18:44:10Z,bench-consumer-B,3.82,78.96,4.82,1.20,42.90,0.00
2026-05-09T18:44:10Z,bench-schema-registry,0.70,463.90,0.00,0.00,68.50,0.00
2026-05-09T18:44:10Z,bench-kafka,45.73,394.00,4.41,4.62,18.00,1.23
2026-05-09T18:44:17Z,bench-driver-B,102.58,24.74,0.00,6.57,0.00,0.00
2026-05-09T18:44:17Z,bench-consumer-B,4.35,78.72,9.09,2.44,42.90,0.00
2026-05-09T18:44:17Z,bench-schema-registry,0.60,466.90,0.00,0.00,68.50,0.00
2026-05-09T18:44:17Z,bench-kafka,42.01,464.90,9.49,9.98,18.00,7.21
2026-05-09T18:44:24Z,bench-driver-B,102.21,24.50,1.27,10.20,0.00,0.00
2026-05-09T18:44:24Z,bench-consumer-B,3.67,78.72,13.40,3.68,42.90,0.00
2026-05-09T18:44:24Z,bench-schema-registry,0.67,467.70,0.00,0.00,68.50,0.00
2026-05-09T18:44:24Z,bench-kafka,57.76,655.40,13.90,14.70,18.00,9.56
2026-05-09T18:44:32Z,bench-driver-B,102.62,24.50,1.62,13.00,0.00,0.00
2026-05-09T18:44:32Z,bench-consumer-B,3.66,78.74,17.70,4.94,42.90,0.00
2026-05-09T18:44:32Z,bench-schema-registry,1.80,468.50,0.00,0.00,68.50,0.00
2026-05-09T18:44:32Z,bench-kafka,11.53,752.20,18.40,19.40,18.00,9.70
2026-05-09T18:44:39Z,bench-driver-B,100.07,24.50,2.08,16.50,0.00,0.00
2026-05-09T18:44:39Z,bench-consumer-B,3.84,79.18,21.80,6.18,42.90,0.00
2026-05-09T18:44:39Z,bench-schema-registry,0.36,469.10,0.00,0.00,68.50,0.00
2026-05-09T18:44:39Z,bench-kafka,9.40,802.30,22.70,23.90,18.00,15.80
2026-05-09T18:44:46Z,bench-driver-B,103.06,24.75,2.49,19.60,0.00,0.00
2026-05-09T18:44:46Z,bench-consumer-B,4.11,79.62,26.00,7.42,42.90,0.00
2026-05-09T18:44:46Z,bench-schema-registry,0.38,469.80,0.00,0.00,68.50,0.00
2026-05-09T18:44:46Z,bench-kafka,11.02,798.10,27.10,28.50,18.00,15.90
2026-05-09T18:44:53Z,bench-driver-B,102.60,24.51,2.89,22.70,0.00,0.00
2026-05-09T18:44:53Z,bench-consumer-B,3.85,80.06,30.20,8.66,42.90,0.00
2026-05-09T18:44:53Z,bench-schema-registry,0.32,471.10,0.00,0.00,68.50,0.00
2026-05-09T18:44:53Z,bench-kafka,9.14,800.80,31.40,33.10,18.00,20.40
2026-05-09T18:45:00Z,bench-driver-B,104.13,24.75,3.30,25.80,0.00,0.00
2026-05-09T18:45:00Z,bench-consumer-B,3.88,80.49,34.30,9.89,42.90,0.00
2026-05-09T18:45:00Z,bench-schema-registry,0.44,474.60,0.00,0.00,68.50,0.00
2026-05-09T18:45:00Z,bench-kafka,77.17,839.10,35.70,37.70,18.00,20.50
2026-05-09T18:45:07Z,bench-driver-B,104.40,24.50,3.70,28.90,0.00,0.00
2026-05-09T18:45:07Z,bench-consumer-B,3.86,80.93,38.50,11.10,42.90,0.00
