second,count,p50_ms,p95_ms,p99_ms,max_ms,bytes_in
34,1744,6.736,11.117,13.832,21.815,366155
35,1990,6.862,11.234,12.677,17.668,419607
36,2010,7.224,11.239,15.08,23.817,420273
37,1992,6.718,11.009,11.569,13.486,419541
38,1995,7.235,12.243,18.689,24.127,418479
39,2001,7.212,11.355,15.816,22.631,419319
40,2002,6.819,11.207,13.089,17.427,421851
41,2004,6.798,11.216,12.083,20.775,421715
42,2002,6.714,11.095,11.62,17.251,419491
43,2002,6.713,11.163,11.809,18.265,419407
44,2003,7.225,12.812,17.213,23.751,421026
45,1994,6.728,10.932,11.41,11.898,418677
46,2000,6.551,11.084,11.782,16.803,420156
47,2004,6.871,11.136,11.719,18.912,419674
48,1997,6.849,11.279,14.261,18.659,419849
49,2000,6.989,11.127,12.075,17.626,420993
50,1993,7.653,13.045,16.687,19.943,418065
51,2006,7.26,12.151,16.039,20.922,426351
52,1994,7.418,11.593,13.855,17.105,420038
53,2002,6.836,11.174,11.799,17.218,419753
54,2005,6.804,11.123,13.59,20.363,421113
55,1998,7.351,11.561,17.228,21.926,419882
56,1995,7.474,12.954,17.42,23.282,418041
57,2008,6.752,11.131,12.095,20.285,421702
58,1992,6.836,11.096,11.743,18.752,417285
59,1998,7.024,11.424,15.116,20.916,418275
60,2006,6.844,11.371,17.654,30.098,422329
61,2000,6.804,11.12,12.304,19.266,420950
62,1998,7.379,13.116,17.778,23.221,419269
63,2004,6.862,11.013,11.515,18.491,419897
64,2000,6.743,11.013,11.542,15.632,421171
65,2002,6.727,10.989,11.359,13.707,422063
66,1998,6.742,11.005,11.486,13.996,420362
67,2001,7.466,13.532,20.741,27.736,421717
68,2001,6.863,11.282,15.393,22.364,422130
69,1996,7.213,11.21,12.383,20.294,422799
70,2001,6.882,11.154,14.051,21.051,421526
71,1997,6.76,11.019,11.552,16.268,420051
72,1998,6.736,11.032,11.511,16.841,420452
73,2002,7.234,11.651,14.898,20.862,419920
74,2010,6.756,11.063,11.8,14.867,425432
75,1991,7.214,11.555,18.365,29.322,419695
76,2002,6.783,11.193,13.26,20.442,422377
77,1996,6.779,11.124,12.047,20.798,416902
78,2002,6.832,11.191,12.774,20.892,423786
79,2004,7.283,12.427,16.143,22.429,421806
80,1999,7.461,12.838,16.538,22.594,418093
81,1999,6.988,11.258,11.81,13.612,421270
82,1998,6.984,11.37,12.281,20.365,417994
83,2003,7.133,11.407,12.26,21.602,423000
84,2000,7.408,11.673,16.215,21.316,420196
85,2001,7.598,13.325,17.91,20.845,419141
86,1993,7.014,11.329,12.049,15.463,417803
87,2005,6.785,11.085,11.676,14.122,421683
88,1991,7.061,11.135,12.728,17.587,419806
89,2009,6.814,11.22,16.448,26.394,419448
90,2006,6.728,11.033,11.52,15.396,423413
91,1998,6.957,11.19,13.554,16.368,419943
92,1997,6.79,11.227,12.332,17.119,419875
93,2000,6.708,10.983,11.414,12.303,420159
94,2002,6.742,11.028,11.878,19.398,422630
95,1999,6.733,11.103,11.638,17.981,421682
96,2002,7.229,11.919,16.114,20.959,418993
97,1999,6.82,11.099,12.282,21.53,421949
98,1995,6.914,11.098,12.176,19.006,420071
99,2002,6.896,11.179,12.493,20.598,420412
100,1998,6.859,11.078,11.792,16.1,418767
101,2005,7.389,12.127,16.669,21.429,422818
102,1997,7.421,13.083,18.138,30.027,419092
103,2005,7.107,11.317,11.97,16.884,420534
104,1995,7.296,11.583,15.516,20.466,418849
105,2002,7.276,11.751,15.83,21.414,420248
106,2003,6.932,11.205,11.737,12.695,422512
107,2001,6.728,11.039,11.469,12.824,422348
108,1994,7.181,11.396,14.885,20.41,417296
109,1997,7.211,11.434,14.132,19.049,417321
110,1998,6.933,11.34,12.639,19.28,420661
111,2004,7.02,11.322,12.02,17.791,419921
112,1998,7.105,11.304,11.943,16.858,418476
113,2000,7.351,11.457,12.638,16.043,421400
114,2002,7.629,12.838,16.609,21.684,417934
115,2001,6.75,11.107,11.811,17.49,419549
116,2001,6.715,11.038,11.777,17.254,420171
117,2002,6.808,11.074,11.611,15.556,420322
118,2004,6.953,11.213,12.172,19.367,419013
119,1998,6.947,11.196,14.516,20.447,419674
120,1999,7.27,12.277,17.233,23.041,419807
121,1995,6.818,11.128,11.806,16.369,421805
122,1998,6.859,11.138,11.773,15.448,418900
123,2012,6.746,10.987,11.423,12.002,424676
124,1988,6.797,11.009,11.415,12.3,417078
125,1996,7.072,11.363,14.527,20.573,421141
126,2011,7.04,11.433,15.824,21.258,424823
127,1993,7.103,11.373,12.317,20.089,415518
128,2000,7.264,11.383,13.806,26.318,419522
129,2002,7.234,11.58,15.28,21.83,420083
130,2000,7.394,11.373,12.43,19.295,421164
131,2002,7.435,12.882,17.264,21.55,419218
132,2000,7.258,11.446,15.863,22.703,420217
133,1993,7.419,12.252,16.986,23.482,417000
134,1997,7.699,13.562,18.189,21.081,418624
135,2007,7.459,11.934,18.013,28.443,426578
136,2003,6.889,11.163,11.735,17.627,422256
137,1997,7.611,13.167,17.461,20.943,420297
138,2000,7.249,11.283,14.264,18.705,419568
139,2006,6.908,11.192,12.458,17.295,423513
140,1998,6.768,11.16,13.806,21.602,418074
141,2000,6.874,11.317,15.304,19.799,420555
142,1995,6.88,11.168,11.865,20.585,421939
143,2001,6.843,11.295,13.588,20.731,420187
144,2005,6.781,11.032,11.497,12.317,421028
145,1995,7.241,11.757,16.764,22.643,419986
146,2000,6.921,11.506,13.59,23.937,421511
147,2008,7.141,11.308,11.989,18.626,422537
148,1992,7.509,12.726,21.591,40.781,419801
149,1996,7.838,13.899,18.503,25.786,417863
150,2008,7.153,11.404,14.769,23.206,421584
151,1998,6.88,11.171,11.63,13.974,420960
152,2004,6.812,11.152,11.645,17.585,419848
153,1991,7.839,14.071,27.888,42.657,417646
154,2003,7.511,12.959,16.858,23.395,419604
155,2000,9.088,19.241,28.264,34.01,420530
156,1999,7.42,11.633,15.55,22.484,421198
157,2004,7.256,11.199,12.116,16.077,423378
158,2000,7.544,12.53,25.608,34.021,422022
159,1988,8.343,16.724,22.139,29.531,416633
160,2017,7.112,11.457,14.845,18.117,424258
161,1997,7.819,16.115,26.027,32.806,418547
162,2000,7.139,11.141,12.245,22.577,421230
163,1994,6.991,11.264,14.293,19.716,420172
164,2006,7.026,11.28,14.326,20.68,421923
165,1996,6.945,11.211,12.142,18.152,421465
166,2003,6.827,11.068,11.488,13.637,419984
167,2000,7.437,11.895,14.452,17.397,420268
168,1993,7.058,10.975,11.425,15.989,422126
169,2002,6.861,11.075,13.372,16.791,422130
170,2005,7.088,11.164,13.795,22.491,420713
171,1999,6.886,11.282,18.025,31.966,418407
172,1996,6.896,11.266,16.886,21.592,418289
173,1997,7.205,11.589,15.747,19.67,420820
174,2008,6.927,11.059,11.43,15.917,422420
175,1999,6.956,11.512,16.372,21.705,419985
176,2005,6.774,11.096,12.296,18.4,422091
177,1993,6.813,11.259,12.765,20.951,417099
178,2002,7.268,11.512,15.945,26.883,419672
179,1998,7.305,11.795,17.983,23.771,418292
180,1996,7.444,12.091,16.644,22.536,417492
181,2002,7.029,11.056,11.581,19.425,422404
182,2001,6.777,10.972,11.446,17.283,422551
183,2004,7.04,11.358,17.104,24.582,422179
184,260,6.876,11.002,11.254,11.351,54944
