ts,name,cpu_pct,mem_mib,net_in_mib,net_out_mib,blk_in_mib,blk_out_mib
2026-05-09T18:48:28Z,bench-sidecar-C,0.74,66.73,0.00,0.00,0.00,0.00
2026-05-09T18:48:28Z,bench-consumer-C,0.09,65.66,0.00,0.00,5.68,1.05
2026-05-09T18:48:28Z,bench-driver-C,97.52,22.40,0.00,0.00,0.00,0.00
2026-05-09T18:48:35Z,bench-driver-C,94.78,22.41,0.00,0.00,0.00,4.38
2026-05-09T18:48:35Z,bench-sidecar-C,0.86,97.13,0.00,0.00,0.00,0.00
2026-05-09T18:48:35Z,bench-consumer-C,0.00,65.66,0.00,0.00,5.68,1.05
2026-05-09T18:48:42Z,bench-driver-C,98.53,22.62,0.00,0.00,0.00,4.38
2026-05-09T18:48:42Z,bench-sidecar-C,0.83,123.30,0.00,0.00,0.00,0.00
2026-05-09T18:48:42Z,bench-consumer-C,0.09,65.67,0.00,0.00,5.68,1.05
2026-05-09T18:48:49Z,bench-driver-C,95.52,22.92,0.00,0.00,0.00,4.38
2026-05-09T18:48:49Z,bench-sidecar-C,17.22,69.93,0.00,6.28,0.00,0.00
2026-05-09T18:48:49Z,bench-consumer-C,0.00,65.68,0.00,0.00,5.68,1.05
2026-05-09T18:48:56Z,bench-driver-C,102.82,22.96,0.00,0.00,0.00,23.50
2026-05-09T18:48:56Z,bench-sidecar-C,1.00,100.30,0.00,6.28,0.00,0.00
2026-05-09T18:48:56Z,bench-consumer-C,0.00,75.26,6.29,0.00,5.79,1.05
2026-05-09T18:49:05Z,bench-driver-C,97.14,23.12,0.00,0.00,0.00,23.50
2026-05-09T18:49:05Z,bench-sidecar-C,0.97,133.60,0.00,6.28,0.00,0.00
2026-05-09T18:49:05Z,bench-consumer-C,0.09,75.27,6.30,0.00,5.79,1.05
2026-05-09T18:49:12Z,bench-driver-C,96.51,23.30,0.00,0.00,0.00,35.80
2026-05-09T18:49:12Z,bench-sidecar-C,0.76,75.94,0.00,12.60,0.00,0.00
2026-05-09T18:49:12Z,bench-consumer-C,0.00,75.28,6.30,0.00,5.79,1.05
2026-05-09T18:49:20Z,bench-driver-C,98.15,23.46,0.00,0.00,0.00,35.80
2026-05-09T18:49:20Z,bench-sidecar-C,1.03,108.30,0.00,12.60,0.00,0.00
2026-05-09T18:49:20Z,bench-consumer-C,0.09,76.25,12.70,0.00,5.79,1.05
2026-05-09T18:49:27Z,bench-driver-C,97.50,23.64,0.00,0.00,0.00,35.80
2026-05-09T18:49:27Z,bench-sidecar-C,0.93,137.30,0.00,12.60,0.00,0.00
2026-05-09T18:49:27Z,bench-consumer-C,0.00,76.26,12.70,0.00,5.79,1.05
2026-05-09T18:49:34Z,bench-driver-C,99.63,23.68,0.00,0.00,0.00,52.20
2026-05-09T18:49:34Z,bench-sidecar-C,0.86,78.96,0.00,19.10,0.00,0.00
2026-05-09T18:49:34Z,bench-consumer-C,58.98,81.82,19.10,0.00,5.79,1.05
2026-05-09T18:49:43Z,bench-driver-C,97.15,24.08,0.00,0.00,0.00,52.20
2026-05-09T18:49:43Z,bench-sidecar-C,0.99,110.10,0.00,19.10,0.00,0.00
2026-05-09T18:49:43Z,bench-consumer-C,0.11,81.83,19.10,0.00,5.79,1.05
2026-05-09T18:49:50Z,bench-driver-C,96.00,24.12,0.00,0.00,0.00,52.20
2026-05-09T18:49:50Z,bench-sidecar-C,0.74,139.10,0.00,19.10,0.00,0.00
2026-05-09T18:49:50Z,bench-consumer-C,0.00,81.84,19.10,0.00,5.79,1.05
2026-05-09T18:49:57Z,bench-driver-C,97.40,24.30,0.00,0.00,0.00,52.20
2026-05-09T18:49:57Z,bench-sidecar-C,0.75,80.16,0.00,25.50,0.00,0.00
2026-05-09T18:49:57Z,bench-consumer-C,77.76,83.73,25.60,0.00,5.79,1.05
2026-05-09T18:50:04Z,bench-driver-C,95.74,24.42,0.00,0.00,0.00,75.00
