second,count,p50_ms,p95_ms,p99_ms,max_ms,bytes_in
51,28884,9371.72,15870.22,16447.72,16592.22,6358391
71,14216,19445.208,22643.208,22927.708,22998.708,0
72,30509,8263.707,15128.208,15738.208,15890.708,6424790
94,19966,18548.015,23040.516,23439.516,23539.515,0
95,24946,7320.015,12933.015,13432.015,13556.515,6445488
117,26784,17255.815,23281.815,23817.315,23951.314,0
118,17975,6065.814,10109.814,10469.314,10559.314,6415529
140,33651,16029.48,23600.981,24273.981,24441.98,0
141,11107,4839.98,7338.98,7560.98,7616.48,6416889
161,40899,12705.972,21907.973,22725.973,22930.473,0
162,3833,1522.972,2384.972,2461.972,2480.972,6419746
184,44747,12247.262,22315.262,23210.261,23433.762,6419225
194,1791,11474.979,11877.479,11913.479,11922.478,0
195,692,10854.477,11009.479,11023.479,11026.979,359225
