ts,name,cpu_pct,mem_mib,net_in_mib,net_out_mib,blk_in_mib,blk_out_mib
2026-05-09T19:12:42Z,bench-sidecar-D,0.01,59.46,0.00,0.00,0.00,0.00
2026-05-09T19:12:42Z,bench-consumer-D,0.10,134.90,0.00,0.00,88.40,1.05
2026-05-09T19:12:42Z,bench-driver-D,100.13,24.97,0.00,0.00,2.63,1.49
2026-05-09T19:12:50Z,bench-driver-D,96.38,24.98,0.00,0.00,2.63,1.49
2026-05-09T19:12:50Z,bench-sidecar-D,0.90,100.60,0.00,0.00,0.00,0.00
2026-05-09T19:12:50Z,bench-consumer-D,0.00,134.90,0.00,0.00,88.40,1.05
2026-05-09T19:12:58Z,bench-driver-D,98.43,25.14,0.00,0.00,2.63,9.38
2026-05-09T19:12:58Z,bench-sidecar-D,0.94,130.90,0.00,0.00,0.00,0.00
2026-05-09T19:12:58Z,bench-consumer-D,0.00,134.90,0.00,0.00,88.40,1.05
2026-05-09T19:13:05Z,bench-driver-D,95.72,25.37,0.00,0.00,2.63,9.38
2026-05-09T19:13:05Z,bench-sidecar-D,5.16,161.30,0.00,0.00,0.00,0.00
2026-05-09T19:13:05Z,bench-consumer-D,0.07,134.90,0.00,0.00,88.40,1.05
2026-05-09T19:13:12Z,bench-driver-D,97.90,25.30,0.00,0.00,2.63,9.38
2026-05-09T19:13:12Z,bench-sidecar-D,0.88,87.33,0.00,5.12,3.88,0.00
2026-05-09T19:13:12Z,bench-consumer-D,0.00,207.80,5.14,0.00,98.80,1.05
2026-05-09T19:13:19Z,bench-driver-D,96.00,25.64,0.00,0.00,2.63,9.38
2026-05-09T19:13:19Z,bench-sidecar-D,0.90,116.30,0.00,5.12,3.88,0.00
2026-05-09T19:13:19Z,bench-consumer-D,0.09,207.80,5.14,0.00,98.80,1.05
2026-05-09T19:13:26Z,bench-driver-D,95.57,25.69,0.00,0.00,2.63,32.70
2026-05-09T19:13:26Z,bench-sidecar-D,0.87,145.70,0.00,5.12,3.88,0.00
2026-05-09T19:13:26Z,bench-consumer-D,0.00,207.80,5.15,0.00,98.80,1.05
2026-05-09T19:13:33Z,bench-driver-D,98.28,25.86,0.00,0.00,2.63,32.70
2026-05-09T19:13:33Z,bench-sidecar-D,0.90,71.89,0.00,10.20,3.88,0.00
