ts,name,cpu_pct,mem_mib,net_in_mib,net_out_mib,blk_in_mib,blk_out_mib
2026-05-09T19:39:12Z,bench-consumer-E,0.03,50.50,0.00,0.00,0.00,0.00
2026-05-09T19:39:12Z,bench-driver-E,97.10,28.33,0.00,0.00,0.00,0.00
2026-05-09T19:39:21Z,bench-driver-E,99.91,28.25,0.00,3.14,0.00,0.00
2026-05-09T19:39:21Z,bench-consumer-E,2.10,53.51,2.91,0.00,0.00,0.00
2026-05-09T19:39:28Z,bench-driver-E,100.40,28.25,0.00,6.44,0.00,0.00
2026-05-09T19:39:28Z,bench-consumer-E,0.60,53.51,5.82,0.00,0.00,0.00
2026-05-09T19:39:35Z,bench-driver-E,98.86,28.25,0.00,8.89,0.00,0.00
2026-05-09T19:39:35Z,bench-consumer-E,0.75,53.74,8.49,0.00,0.00,0.00
2026-05-09T19:39:42Z,bench-driver-E,98.10,28.25,0.00,12.10,0.00,0.00
2026-05-09T19:39:42Z,bench-consumer-E,0.61,54.28,11.10,0.00,0.00,0.00
2026-05-09T19:39:49Z,bench-driver-E,98.26,28.25,0.00,15.00,0.00,0.00
2026-05-09T19:39:49Z,bench-consumer-E,0.59,54.82,13.60,0.00,0.00,0.00
2026-05-09T19:39:56Z,bench-driver-E,100.84,28.25,0.00,17.80,0.00,0.00
2026-05-09T19:39:56Z,bench-consumer-E,0.77,55.38,16.20,0.00,0.00,0.00
2026-05-09T19:40:03Z,bench-driver-E,97.59,28.25,0.00,20.60,0.00,0.00
2026-05-09T19:40:03Z,bench-consumer-E,0.61,55.92,18.80,0.00,0.00,0.00
2026-05-09T19:40:11Z,bench-driver-E,97.06,28.25,0.00,23.50,0.00,0.00
2026-05-09T19:40:11Z,bench-consumer-E,0.67,56.38,21.00,0.00,0.00,0.00
2026-05-09T19:40:18Z,bench-driver-E,100.59,28.25,0.00,26.30,0.00,0.00
2026-05-09T19:40:18Z,bench-consumer-E,0.75,57.04,24.10,0.00,0.00,0.00
2026-05-09T19:40:25Z,bench-driver-E,98.82,28.25,0.00,29.20,0.00,0.00
2026-05-09T19:40:25Z,bench-consumer-E,0.69,57.50,26.30,0.00,0.00,0.00
2026-05-09T19:40:32Z,bench-driver-E,99.82,28.25,0.00,32.00,0.00,0.00
2026-05-09T19:40:32Z,bench-consumer-E,0.61,58.12,29.30,0.00,0.00,0.00
2026-05-09T19:40:39Z,bench-driver-E,96.62,28.25,1.04,34.80,0.00,0.00
2026-05-09T19:40:39Z,bench-consumer-E,0.57,58.67,31.90,0.00,0.00,0.00
2026-05-09T19:40:46Z,bench-driver-E,97.88,28.25,1.12,37.70,0.00,0.00
2026-05-09T19:40:46Z,bench-consumer-E,0.60,59.23,34.50,0.00,0.00,0.00
2026-05-09T19:40:53Z,bench-driver-E,100.15,28.25,1.21,40.50,0.00,0.00
2026-05-09T19:40:53Z,bench-consumer-E,0.58,59.77,37.10,0.00,0.00,0.00
