second,count,p50_ms,p95_ms,p99_ms,max_ms,bytes_in
24,461,450.136,553.075,562.022,564.495,183716
25,1986,387.51,534.716,572.972,582.878,794209
26,2007,388.372,541.069,580.864,590.773,805205
27,1996,388.448,537.752,575.06,584.958,796524
28,2007,438.94,593.624,633.408,643.314,802520
29,2006,385.869,533.611,573.395,583.304,800553
30,1988,388.457,534.905,574.189,584.095,796818
31,2006,391.564,540.855,580.637,590.541,804516
32,2002,392.195,538.958,578.729,588.633,798768
33,1990,391.337,539.434,578.724,588.631,794433
34,2011,391.913,542.525,582.296,592.205,804370
35,1988,392.579,537.179,576.44,586.348,796247
36,2009,442.777,601.712,641.497,651.399,802248
37,2000,388.607,538.804,578.607,588.517,798963
38,2004,389.954,542.271,582.042,591.949,803036
39,1987,437.062,588.862,628.133,638.034,792307
40,2012,391.287,541.083,579.379,589.274,805147
41,1984,393.722,539.969,577.699,587.594,793000
42,2006,391.185,545.559,585.329,595.229,804945
43,2009,340.127,493.103,532.898,542.803,801369
44,1984,392.166,539.901,579.164,589.023,792189
45,2019,438.026,595.525,635.806,645.718,807398
46,1987,389.084,535.26,574.058,583.967,794306
47,2012,390.597,540.625,580.594,590.502,803203
48,1986,388.915,537.029,576.287,586.108,793148
49,2003,391.861,547.139,586.928,596.835,801611
50,2012,393.196,541.544,581.261,591.167,805406
51,1982,390.495,538.948,578.224,588.127,793718
52,2003,440.961,588.174,627.952,637.855,805156
53,2001,392.011,539.401,577.187,587.095,799145
54,2007,390.309,540.781,580.562,590.47,803251
55,2005,391.511,539.168,578.945,588.848,801368
56,1983,391.303,539.014,578.305,588.21,793448
57,2006,442.019,590.732,627.031,636.94,800687
58,2009,391.505,541.167,580.945,590.836,803143
59,2001,386.398,541.511,581.302,591.209,799660
60,1994,391.262,544.09,583.871,593.773,795466
61,2004,390.198,541.365,581.139,591.03,803227
62,2005,387.975,537.347,576.52,586.428,800124
63,1985,391.321,537.931,574.616,584.52,793609
64,2007,398.593,546.578,586.354,596.248,801374
65,2003,391.833,540.029,578.811,588.722,802832
66,1985,393.776,537.553,575.509,585.417,794666
67,2009,393.728,545.431,584.717,594.613,804559
68,1993,352.671,499.093,535.233,545.139,798629
69,2003,391.658,541.447,577.056,586.963,803104
70,2000,392.577,545.783,585.565,595.466,805118
71,2004,391.21,543.333,582.624,592.536,803990
72,2005,393.205,552.375,592.152,602.044,799746
73,2002,390.367,542.638,582.407,592.314,799614
74,1999,391.945,543.184,582.97,592.875,801841
75,1986,418.789,548.127,587.407,597.316,798574
76,2513,418.907,588.345,633.894,646.291,1005242
77,1996,393.249,543.445,583.232,593.122,798699
78,2008,392.147,540.736,580.512,590.418,802405
79,1992,390.277,538.851,576.071,585.977,798628
80,1996,392.109,540.099,579.458,589.363,797310
81,2002,391.489,542.671,582.409,592.281,801197
82,2001,391.786,542.28,581.937,591.847,799571
83,2002,391.354,541.265,581.06,590.952,800904
84,1997,389.947,539.273,579.062,588.936,798608
85,2004,388.824,539.987,579.781,589.69,801898
86,2003,390.01,538.236,578.035,587.945,799562
87,1504,417.045,550.547,580.38,587.791,601163
88,1984,425.38,686.918,726.189,736.088,793563
